file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\argouml\org\argouml\ui\FindDialog.java,org.argouml.ui.PredicateMType,class,2,4,2,2,8,2,0,3,21,0.0,0.0,0.0,7,4,5,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,0,1,11,11,0,4,1,0,0,0,42,0,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\argouml\org\argouml\uml\ui\UMLModelElementOrderedListModel2.java,org.argouml.uml.ui.UMLModelElementOrderedListModel2,class,3,14,11,3,6,4,9,1,15,0.0,0.0,0.0,6,0,4,0,2,0,6,3,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,2,0,2,0,0,0,0,65,1025,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\argouml\org\argouml\uml\cognitive\critics\CrInterfaceWithoutComponent.java,org.argouml.uml.cognitive.critics.CrInterfaceWithoutComponent,class,10,12,2,10,13,3,0,17,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,45,7,1,3,0,4,0,0,15,0,14,3,0,0,0,88,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\argouml\org\argouml\uml\ui\foundation\core\UMLAssociationLinkListModel.java,org.argouml.uml.ui.foundation.core.UMLAssociationLinkListModel,class,1,2,1,1,4,4,0,6,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,1,0,0,0,0,1,0,0,0,22,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\argouml\org\argouml\uml\ui\UMLModelElementOrderedListModel2.java,org.argouml.uml.ui.MoveDownAction,class,2,3,1,2,4,3,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,15,1,0,0,0,0,1,2,2,2,2,0,0,0,0,31,0,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\argouml\org\argouml\uml\ui\behavior\state_machines\UMLStateMachineTransitionListModel.java,org.argouml.uml.ui.behavior.state_machines.UMLStateMachineTransitionListModel,class,1,2,1,1,3,4,0,5,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,22,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\argouml\org\argouml\uml\ui\behavior\use_cases\UMLUseCaseExtendListModel.java,org.argouml.uml.ui.behavior.use_cases.UMLUseCaseExtendListModel,class,1,2,1,1,3,4,0,5,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,30,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\argouml\org\argouml\uml\ui\behavior\use_cases\UMLIncludeBaseComboBoxModel.java,org.argouml.uml.ui.behavior.use_cases.UMLIncludeBaseComboBoxModel,class,1,2,1,1,7,3,0,15,6,0.0,0.0,0.0,4,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,3,0,0,2,0,3,0,3,1,0,0,0,28,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\argouml\org\argouml\uml\diagram\ui\ActionAddNote.java,org.argouml.uml.diagram.ui.ActionAddNote,class,7,11,4,7,19,2,0,37,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,65,3,3,3,0,6,2,7,24,6,14,6,0,0,0,64,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\argouml\org\argouml\ui\explorer\rules\GoCompositeStateToSubvertex.java,org.argouml.ui.explorer.rules.GoCompositeStateToSubvertex,class,2,3,1,2,5,2,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,19,5,0,0,0,0,1,0,1,0,1,1,0,0,0,19,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\argouml\org\argouml\uml\diagram\deployment\ui\SelectionNode.java,org.argouml.uml.diagram.deployment.ui.SelectionNode,class,12,14,2,12,25,4,0,37,34,0.8333334,0.0,0.0,9,0,4,0,5,0,9,0,0,0,2,2,0,2,0,0,1,0,0,125,10,0,5,0,0,7,29,57,30,33,1,0,0,0,83,1,1
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\argouml\org\argouml\uml\ui\behavior\common_behavior\UMLStimulusReceiverListModel.java,org.argouml.uml.ui.behavior.common_behavior.UMLStimulusReceiverListModel,class,1,2,1,1,4,4,0,5,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,1,0,0,0,0,0,0,0,0,25,1,0
