file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\awt\Color.java,java.awt.Color,class,1,1,0,1,115,1,1,27,500,0.97222227,0.0,0.0,36,10,33,3,0,0,34,0,0,1,35,28,26,8,0,1,28,0,18,446,33,5,33,0,112,21,274,201,147,87,3,0,0,0,376,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\awt\peer\WindowPeer.java,java.awt.peer.WindowPeer,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\awt\event\InputMethodListener.java,java.awt.event.InputMethodListener,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\awt\image\renderable\ContextualRenderedImageFactory.java,java.awt.image.renderable.ContextualRenderedImageFactory,interface,0,0,0,0,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\awt\font\LineBreakMeasurer.java,java.awt.font.LineBreakMeasurer,class,0,0,0,0,23,1,0,18,0,0.4666667,0.0,0.0,10,0,10,0,0,0,10,0,0,0,6,0,0,6,0,0,0,0,3,102,7,0,3,0,0,3,3,26,4,11,4,0,0,0,357,17,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\awt\image\RasterFormatException.java,java.awt.image.RasterFormatException,class,0,0,0,0,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\awt\JobAttributes.java,java.awt.JobAttributes$MultipleDocumentHandlingType,innerclass,0,0,0,0,1,2,0,0,0,0.8,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,5,5,2,3,0,0,5,0,0,10,0,0,0,0,0,2,2,5,0,5,0,0,0,0,56,25,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\awt\dnd\DropTargetContext.java,java.awt.dnd.DropTargetContext$TransferableProxy,innerclass,2,2,0,2,4,1,0,3,6,0.75,0.0,0.0,4,0,3,0,0,1,4,0,0,0,3,0,0,1,2,0,0,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,95,4,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\awt\image\SampleModel.java,java.awt.image.SampleModel,class,5,5,0,5,141,1,3,12,628,0.8719512,0.0,0.0,41,1,40,1,0,0,41,10,4,0,4,0,0,0,4,0,0,0,2,396,17,66,15,0,25,8,39,167,59,124,4,0,0,0,288,1025,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\awt\image\ColorConvertOp.java,java.awt.image.ColorConvertOp,class,11,11,0,11,155,1,0,56,77,0.8030303,0.0,0.0,22,0,13,9,0,0,14,0,10,0,7,0,0,0,0,7,0,0,1,652,17,27,70,1,77,21,137,276,51,141,5,0,0,0,288,1,0
