file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\ant\src\main\org\apache\tools\ant\taskdefs\optional\sitraka\ReportFilters.java,org.apache.tools.ant.taskdefs.optional.sitraka.ReportFilters$FilterElement,innerclass,2,2,0,2,4,1,0,3,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,4,21,2,0,0,0,0,12,0,5,1,3,0,0,0,0,17,1033,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\ant\src\main\org\apache\tools\ant\taskdefs\email\MimeMailer.java,org.apache.tools.ant.taskdefs.email.MimeMailer,class,15,16,1,15,20,3,0,43,3,0.6666667,NaN,NaN,3,1,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,8,165,3,2,8,2,1,21,2,27,2,22,3,0,2,0,110,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\ant\src\main\org\apache\tools\ant\types\FilterSet.java,org.apache.tools.ant.types.FilterSet$Filter,innerclass,0,0,0,0,6,1,0,0,3,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,0,0,2,0,0,0,22,2,0,0,0,0,0,0,4,0,2,0,0,0,0,31,9,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\ant\src\main\org\apache\tools\ant\taskdefs\optional\sitraka\XMLReport.java,org.apache.tools.ant.taskdefs.optional.sitraka.XMLReport,class,15,17,2,15,69,1,0,75,152,0.85714287,0.0,0.0,21,1,6,1,14,0,20,0,0,0,8,0,0,8,0,0,0,0,22,380,15,16,19,2,0,106,39,137,23,122,4,0,0,0,215,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\ant\src\main\org\apache\tools\ant\taskdefs\optional\perforce\P4Submit.java,org.apache.tools.ant.taskdefs.optional.perforce.P4Submit$P4SubmitAdapter,innerclass,3,3,0,3,10,3,0,13,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,41,0,1,3,1,2,14,2,8,4,6,5,0,0,0,49,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\ant\src\testcases\org\apache\tools\ant\taskdefs\optional\script\ScriptDefTest.java,org.apache.tools.ant.taskdefs.optional.script.ScriptDefTest,class,3,3,0,3,18,2,0,11,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,7,0,0,35,7,11,2,11,0,0,0,0,79,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\ant\src\main\org\apache\tools\ant\taskdefs\Javadoc.java,org.apache.tools.ant.taskdefs.Javadoc$TagArgument,innerclass,5,5,0,5,24,2,0,10,7,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,4,0,0,4,0,0,0,0,0,80,2,3,3,0,1,17,3,21,5,12,4,0,0,0,93,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\ant\src\main\org\apache\tools\ant\taskdefs\optional\ide\VAJImportServlet.java,org.apache.tools.ant.taskdefs.optional.ide.VAJImportServlet,class,2,2,0,2,1,3,0,5,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\ant\src\main\org\apache\tools\ant\types\selectors\DepthSelector.java,org.apache.tools.ant.types.selectors.DepthSelector,class,5,10,5,5,25,5,0,16,3,0.64285713,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,2,4,0,0,0,2,0,2,87,4,2,1,2,0,17,10,17,6,14,4,0,0,0,144,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\ant\src\main\org\apache\tools\ant\taskdefs\Mkdir.java,org.apache.tools.ant.taskdefs.Mkdir,class,3,5,2,3,9,3,0,8,1,0.5,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,1,0,2,0,0,1,0,1,35,3,0,1,1,0,6,1,4,3,4,2,0,0,0,77,1,0
