file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\figures\ConnectedTextTool.java,org.jhotdraw.figures.ConnectedTextTool,class,15,19,4,15,16,8,0,21,26,0.75,0.0,0.0,8,0,4,0,4,0,8,0,0,0,1,0,0,1,0,0,0,0,0,130,3,0,6,0,7,1,0,3,0,3,2,0,2,0,57,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\contrib\html\HTMLTextAreaFigure.java,org.jhotdraw.contrib.html.HTMLTextAreaFigure,class,24,30,6,24,95,6,0,133,1369,0.9629629,0.0,0.0,54,0,29,0,25,0,56,0,0,0,12,4,3,9,0,0,3,0,11,451,28,4,22,1,19,27,27,74,8,48,4,4,1,0,623,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\samples\pert\PertDependency.java,org.jhotdraw.samples.pert.PertDependency,class,8,12,4,8,8,4,0,14,10,1.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,1,0,1,39,2,0,2,0,3,0,4,7,0,7,1,0,0,0,37,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\test\util\BoundsTest.java,org.jhotdraw.test.util.BoundsTest,class,3,6,3,3,40,2,0,7,691,0.8947368,0.0,0.0,38,0,36,0,2,0,38,0,0,0,1,0,0,1,0,0,0,0,0,98,1,1,0,1,0,2,5,5,0,4,1,0,0,0,141,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\util\UndoCommand.java,org.jhotdraw.util.UndoCommand,class,5,7,2,5,9,2,0,12,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,2,0,3,0,1,4,0,4,1,0,0,0,74,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\contrib\zoom\ZoomDrawingView.java,org.jhotdraw.contrib.zoom.ZoomDrawingView,class,14,24,10,14,57,6,0,57,586,0.875,0.0,0.0,36,0,24,6,6,0,30,0,2,0,2,0,0,2,0,0,0,0,5,280,16,1,7,0,29,5,41,67,54,47,2,3,0,0,179,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\test\util\PaletteIconTest.java,org.jhotdraw.test.util.PaletteIconTest,class,5,7,2,5,13,2,0,8,43,0.8,0.0,0.0,10,0,8,0,2,0,10,0,0,0,1,0,0,1,0,0,0,0,1,47,1,1,1,1,0,5,11,10,4,6,1,0,0,0,99,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\contrib\html\HTMLTextAreaTool.java,org.jhotdraw.contrib.html.HTMLTextAreaTool,class,4,5,1,4,2,4,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,56,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\contrib\FloatingTextArea.java,org.jhotdraw.contrib.FloatingTextArea,class,1,4,3,1,9,1,0,19,0,0.47619048,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,0,3,0,0,0,2,43,2,0,2,0,0,0,2,4,0,4,1,0,0,0,91,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\test\util\StorableInputTest.java,org.jhotdraw.test.util.StorableInputTest,class,3,5,2,3,12,2,0,5,64,0.8333333,0.0,0.0,12,0,10,0,2,0,12,0,0,0,1,0,0,1,0,0,0,0,1,36,1,0,0,0,0,2,0,4,0,3,0,0,0,0,83,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\test\figures\TextToolTest.java,org.jhotdraw.test.figures.TextToolTest,class,4,7,3,4,11,3,0,4,53,0.8181818,0.0,0.0,11,0,9,0,2,0,11,0,0,0,1,0,0,1,0,0,0,0,0,31,1,0,0,0,0,0,4,2,0,1,0,0,0,0,88,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\contrib\dnd\JHDDragSourceListener.java,org.jhotdraw.contrib.dnd.JHDDragSourceListener$RemoveUndoActivity,innerclass,8,8,0,8,10,2,0,18,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,4,47,4,2,1,0,0,3,2,7,1,5,2,0,0,0,41,9,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\standard\TextHolder.java,org.jhotdraw.standard.TextHolder,interface,1,15,14,1,9,1,0,0,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\contrib\WindowMenu.java,org.jhotdraw.contrib.WindowMenu$ChildMenuItem,innerclass,0,0,0,0,2,7,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\standard\SingleFigureEnumerator.java,org.jhotdraw.standard.SingleFigureEnumerator,class,3,22,19,3,5,1,0,1,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,19,2,0,1,0,0,0,0,4,0,3,0,0,0,0,72,17,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\samples\nothing\NothingApp.java,org.jhotdraw.samples.nothing.NothingApp,class,14,16,2,14,3,7,0,4,3,0.0,0.0,0.0,3,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,17,0,9,8,2,0,0,0,0,70,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\test\standard\NullToolTest.java,org.jhotdraw.test.standard.NullToolTest,class,3,6,3,3,7,3,0,4,19,0.71428573,0.0,0.0,7,0,5,0,2,0,7,0,0,0,1,0,0,1,0,0,0,0,0,23,1,0,0,0,0,0,0,2,0,1,0,0,0,0,80,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\test\util\collections\jdk12\CollectionsFactoryJDK12Test.java,org.jhotdraw.test.util.collections.jdk12.CollectionsFactoryJDK12Test,class,3,6,3,3,8,2,0,3,26,0.75,0.0,0.0,8,0,6,0,2,0,8,0,0,0,1,0,0,1,0,0,0,0,0,25,1,0,0,0,0,0,0,2,0,1,0,0,0,0,76,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\util\collections\jdk11\ListWrapper.java,org.jhotdraw.util.collections.jdk11.ListWrapper,class,1,3,2,1,26,1,0,22,0,0.03846154,0.0,0.0,26,0,26,0,0,0,26,0,0,0,1,0,0,1,0,0,0,0,0,81,21,0,0,0,0,0,0,3,0,1,0,0,0,0,38,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\standard\DragTracker.java,org.jhotdraw.standard.DragTracker,class,9,13,4,9,21,3,0,29,83,0.85714287,0.0,0.0,14,0,7,0,7,0,14,0,0,0,3,0,0,3,0,0,0,0,2,115,5,1,0,0,3,0,2,6,4,5,2,0,1,0,56,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\util\Geom.java,org.jhotdraw.util.Geom,class,1,24,23,1,54,1,0,22,251,0.9130435,0.0,0.0,23,22,22,1,0,0,22,0,0,0,4,4,4,0,0,0,4,0,23,177,31,0,5,0,45,0,42,52,113,40,3,0,0,0,136,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\figures\ElbowHandle.java,org.jhotdraw.figures.ElbowHandle,class,8,11,3,8,15,2,0,19,14,0.6666667,0.0,0.0,9,0,5,4,0,0,5,0,0,0,2,0,0,2,0,0,0,0,5,97,5,0,5,0,2,0,14,47,26,39,1,0,0,0,63,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\standard\OffsetLocator.java,org.jhotdraw.standard.OffsetLocator,class,5,8,3,5,7,2,0,7,0,0.5142857,0.0,0.0,7,0,7,0,0,0,7,0,0,0,5,1,0,5,0,0,1,0,0,43,1,0,0,0,0,0,4,16,0,6,0,0,0,0,41,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\test\figures\EllipseFigureTest.java,org.jhotdraw.test.figures.EllipseFigureTest,class,3,6,3,3,14,2,0,3,89,0.85714287,0.0,0.0,14,0,12,0,2,0,14,0,0,0,1,0,0,1,0,0,0,0,0,37,1,0,0,0,0,0,0,2,0,1,0,0,0,0,92,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\contrib\SplitPaneDrawApplication.java,org.jhotdraw.contrib.SplitPaneDrawApplication,class,3,4,1,3,3,7,1,0,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,25,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\test\standard\DeleteFromDrawingVisitorTest.java,org.jhotdraw.test.standard.DeleteFromDrawingVisitorTest,class,5,8,3,5,9,3,0,7,34,0.7777778,0.0,0.0,9,0,7,0,2,0,9,0,0,0,1,0,0,1,0,0,0,0,0,28,1,0,0,0,0,0,0,2,0,1,0,0,0,0,86,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\util\ColorMap.java,org.jhotdraw.util.ColorMap,class,2,9,7,2,14,1,0,4,0,0.16666667,0.0,0.0,6,6,6,0,0,0,6,0,0,0,1,1,0,0,0,1,0,0,3,37,8,2,0,0,0,18,9,3,2,3,2,0,0,0,41,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\contrib\html\HTMLContentProducerContext.java,org.jhotdraw.contrib.html.HTMLContentProducerContext,interface,1,3,2,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\standard\BringToFrontCommand.java,org.jhotdraw.standard.BringToFrontCommand$UndoActivity,innerclass,5,5,0,5,2,3,0,3,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\standard\ChangeConnectionHandle.java,org.jhotdraw.standard.ChangeConnectionHandle,class,13,16,3,13,38,3,2,38,161,0.8947369,0.0,0.0,19,0,4,2,13,0,17,6,0,0,4,0,0,4,0,0,0,0,1,146,9,1,12,0,6,0,0,15,0,13,3,0,1,0,113,1025,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\standard\LocatorHandle.java,org.jhotdraw.standard.LocatorHandle,class,7,14,7,7,13,2,5,13,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,8,44,3,0,0,0,0,0,0,11,0,3,2,0,0,0,46,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\test\standard\ChangeConnectionEndHandleTest.java,org.jhotdraw.test.standard.ChangeConnectionEndHandleTest,class,4,7,3,4,6,2,0,3,13,0.6666667,0.0,0.0,6,0,4,0,2,0,6,0,0,0,1,0,0,1,0,0,0,0,0,21,1,0,0,0,0,0,0,2,0,1,0,0,0,0,76,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\samples\javadraw\FollowURLTool.java,org.jhotdraw.samples.javadraw.FollowURLTool,class,4,5,1,4,8,2,0,9,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,37,2,0,4,1,0,1,0,7,0,6,1,0,0,0,41,0,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\standard\BoxHandleKit.java,org.jhotdraw.standard.SouthEastHandle,class,5,6,1,5,2,4,0,5,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\util\CollectionsFactory.java,org.jhotdraw.util.CollectionsFactory,class,2,60,58,2,16,1,2,5,55,0.90909094,0.0,0.0,11,4,8,0,3,0,11,7,0,0,3,3,0,3,0,0,1,0,5,49,5,0,0,2,0,5,0,7,1,5,1,0,0,0,52,1025,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\test\samples\javadraw\JavaDrawAppletTest.java,org.jhotdraw.test.samples.javadraw.JavaDrawAppletTest,class,3,6,3,3,9,2,0,3,34,0.7777778,0.0,0.0,9,0,7,0,2,0,9,0,0,0,1,0,0,1,0,0,0,0,0,27,1,0,0,0,0,0,0,2,0,1,0,0,0,0,81,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\standard\BoxHandleKit.java,org.jhotdraw.standard.NorthWestHandle,class,5,6,1,5,2,4,0,5,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,1,4,1,0,0,0,0,14,0,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\contrib\html\TextHolderContentProducer.java,org.jhotdraw.contrib.html.TextHolderContentProducer,class,6,8,2,6,8,2,0,8,19,0.71428573,0.0,0.0,7,0,6,0,1,0,7,0,0,0,1,0,0,1,0,0,0,0,0,26,2,0,1,0,1,0,0,2,0,2,0,0,0,0,94,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\contrib\html\DisposableResourceManager.java,org.jhotdraw.contrib.html.DisposableResourceManager,interface,1,5,4,1,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\samples\minimap\MiniMapDesktop.java,org.jhotdraw.samples.minimap.MiniMapDesktop,class,5,7,2,5,2,6,0,8,1,0.5,0.0,0.0,2,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,1,17,2,0,0,0,0,1,3,5,0,5,0,0,0,0,34,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\framework\JHotDrawException.java,org.jhotdraw.framework.JHotDrawException,class,1,2,1,1,4,3,0,3,4,0.5,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,17,1,0,0,0,0,0,0,1,0,1,0,0,0,0,14,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\test\standard\SelectionToolTest.java,org.jhotdraw.test.standard.SelectionToolTest,class,3,6,3,3,9,3,0,4,34,0.7777778,0.0,0.0,9,0,7,0,2,0,9,0,0,0,1,0,0,1,0,0,0,0,0,27,1,0,0,0,0,0,0,2,0,1,0,0,0,0,80,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\standard\BoxHandleKit.java,org.jhotdraw.standard.BoxHandleKit,class,11,21,10,11,10,1,0,10,45,0.0,0.0,0.0,10,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,39,8,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\test\samples\nothing\NothingAppTest.java,org.jhotdraw.test.samples.nothing.NothingAppTest,class,3,6,3,3,6,2,0,3,13,0.6666667,0.0,0.0,6,0,4,0,2,0,6,0,0,0,1,0,0,1,0,0,0,0,0,21,1,0,0,0,0,0,0,2,0,1,0,0,0,0,73,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\util\GraphLayout.java,org.jhotdraw.util.GraphLayout,class,7,9,2,7,27,2,0,30,0,0.7777778,0.0,0.0,8,0,6,2,0,0,6,0,0,2,8,0,6,1,0,1,0,0,14,135,3,5,5,0,5,0,32,70,41,43,4,0,0,0,71,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\jhotdraw\contrib\TextAreaTool.java,org.jhotdraw.contrib.TextAreaTool,class,13,17,4,13,32,4,1,45,114,0.875,0.0,0.0,16,0,7,1,8,0,15,0,0,0,3,0,0,0,3,0,0,0,0,195,9,0,12,0,5,0,1,8,0,6,2,0,1,0,143,1,0
