file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\RandomAccessFile.java,java.io.RandomAccessFile,class,2,2,0,2,88,1,0,36,1027,0.9658385,0.0,0.0,46,1,41,5,0,0,42,0,27,0,7,4,0,7,0,0,4,0,8,244,19,3,11,0,45,8,84,53,40,40,5,0,0,0,447,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\BufferedInputStream.java,java.io.BufferedInputStream,class,1,1,0,1,44,3,0,8,22,0.6794872,0.0,0.0,13,0,10,3,0,0,10,0,0,6,6,1,0,1,5,0,0,0,3,122,15,1,3,0,9,3,33,32,15,16,4,0,0,0,272,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\CharArrayReader.java,java.io.CharArrayReader,class,1,1,0,1,29,2,0,3,0,0.47727275,0.0,0.0,11,0,10,1,0,0,10,0,0,0,4,0,0,0,4,0,0,0,2,90,10,0,2,0,13,1,17,15,9,4,2,0,0,0,136,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\ObjectOutputStream.java,java.io.ObjectOutputStream$PutField,innerclass,0,0,0,0,10,1,0,0,45,0.0,0.0,0.0,10,0,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1033,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\PushbackInputStream.java,java.io.PushbackInputStream,class,1,1,0,1,33,3,0,8,10,0.375,0.0,0.0,12,0,11,1,0,0,11,0,0,1,2,0,0,0,2,0,0,0,2,101,11,0,6,0,8,4,19,17,7,4,2,0,0,0,204,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\FilterReader.java,java.io.FilterReader,class,1,1,0,1,9,2,1,8,0,0.0,0.0,0.0,9,0,8,0,1,0,9,0,0,0,1,0,0,0,1,0,0,0,0,31,5,0,0,0,0,0,0,1,0,1,0,0,0,0,74,1025,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\ObjectInputStream.java,java.io.ObjectInputStream$HandleTable$HandleList,innerclass,1,1,0,1,6,1,0,1,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,1,23,2,0,0,0,0,0,5,5,1,3,1,0,0,0,19,10,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\ObjectOutputStream.java,java.io.ObjectOutputStream$HandleTable,innerclass,1,1,0,1,15,1,0,9,0,0.5,0.0,0.0,9,0,0,4,0,5,5,0,0,0,6,0,0,6,0,0,1,0,6,72,6,2,2,0,4,0,18,21,8,13,2,0,0,0,88,10,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\DataOutputStream.java,java.io.DataOutputStream,class,2,2,0,2,31,3,0,13,149,0.8888889,0.0,0.0,18,1,16,1,0,1,17,0,12,2,2,0,0,1,1,0,0,0,3,130,2,4,0,0,41,0,88,36,29,16,2,0,0,0,158,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\PipedInputStream.java,java.io.PipedInputStream,class,2,2,0,2,51,2,0,8,21,0.72222215,0.0,0.0,10,0,7,0,1,2,10,0,0,6,9,1,0,0,4,5,1,0,2,134,9,4,10,2,15,8,34,26,6,13,3,0,0,0,193,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\FilePermission.java,java.io.FilePermission,class,2,2,0,2,122,2,0,22,7,0.81632656,0.0,0.0,14,2,6,5,0,3,9,0,0,0,14,9,0,14,0,0,9,0,5,218,25,3,79,0,49,12,69,48,45,27,5,1,0,0,287,17,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\InvalidObjectException.java,java.io.InvalidObjectException,class,0,0,0,0,1,5,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\ObjectStreamField.java,java.io.ObjectStreamField,class,0,0,0,0,35,1,0,8,12,0.6875,0.0,0.0,16,0,11,0,1,4,16,0,0,0,6,0,0,6,0,0,5,0,2,112,12,0,5,0,4,1,6,29,1,10,1,0,0,0,162,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\PrintWriter.java,java.io.PrintWriter,class,2,2,0,2,50,2,0,33,415,0.8161764,0.0,0.0,34,0,31,2,1,0,32,0,0,0,4,0,0,3,1,0,0,0,10,204,2,0,4,6,0,5,2,14,0,4,3,0,0,0,209,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\ObjectStreamClass.java,java.io.ObjectStreamClass$Anonymous3,anonymous,0,0,0,0,3,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,26,1,0,1,1,1,5,3,13,0,0,1,0,0,0,46,-1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\ObjectStreamClass.java,java.io.ObjectStreamClass$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,2,0,0,2,0,2,0,0,0,0,8,-1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\ObjectStreamClass.java,java.io.ObjectStreamClass$ClassDataSlot,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,32,8,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\ObjectStreamClass.java,java.io.ObjectStreamClass$Anonymous5,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,2,0,0,2,0,2,0,0,0,0,8,-1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\StreamCorruptedException.java,java.io.StreamCorruptedException,class,0,0,0,0,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\Externalizable.java,java.io.Externalizable,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\ObjectStreamClass.java,java.io.ObjectStreamClass$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\ObjectInputValidation.java,java.io.ObjectInputValidation,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\FilterOutputStream.java,java.io.FilterOutputStream,class,1,1,0,1,12,2,3,6,3,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,29,0,1,0,1,4,0,3,2,4,2,1,0,0,0,131,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\io\Reader.java,java.io.Reader,class,1,1,0,1,18,1,6,2,47,0.78787875,0.0,0.0,11,0,9,0,2,0,11,2,0,0,3,1,0,2,1,0,1,0,2,50,6,1,4,0,2,3,12,10,1,7,3,0,0,0,197,1025,0
