file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\net\HttpURLConnection.java,java.net.HttpURLConnection,class,0,0,0,0,34,2,0,19,94,0.92261904,0.0,0.0,16,2,15,0,1,0,16,2,0,0,42,38,36,2,4,0,37,0,3,150,15,1,5,3,0,15,51,61,6,52,3,0,0,0,288,1025,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\net\SocketImpl.java,java.net.SocketImpl,class,0,0,0,0,25,1,1,4,256,0.8866667,0.0,0.0,25,0,1,0,19,5,25,12,0,0,6,0,0,0,4,2,0,0,0,62,8,0,0,0,0,6,2,7,1,6,0,0,0,0,193,1025,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\net\SocketAddress.java,java.net.SocketAddress,class,0,0,0,0,0,1,1,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1025,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\net\URLDecoder.java,java.net.URLDecoder,class,1,1,0,1,14,1,0,9,1,0.5,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,2,53,2,2,3,2,7,3,10,15,6,9,4,0,0,0,196,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\net\URL.java,java.net.URL,class,1,1,0,1,115,1,0,49,266,0.85204995,0.0,0.0,33,2,26,4,2,1,29,0,3,3,17,5,0,12,0,5,2,0,11,359,27,5,54,3,18,25,37,118,18,47,6,0,0,0,486,17,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\net\DatagramSocket.java,java.net.DatagramSocket$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,2,2,0,1,0,0,0,0,8,-1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\net\URISyntaxException.java,java.net.URISyntaxException,class,0,0,0,0,10,3,0,5,0,0.4166667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,34,4,0,2,0,2,2,3,3,0,3,1,0,0,0,81,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\net\URLConnection.java,java.net.UnknownContentHandler,class,0,0,0,0,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\net\NetworkInterface.java,java.net.NetworkInterface$Anonymous1,anonymous,0,0,0,0,6,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,15,2,0,2,0,1,0,1,2,0,2,1,0,0,0,15,-1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\net\URLClassLoader.java,java.net.FactoryURLClassLoader,class,0,0,0,0,8,4,0,9,3,0.0,0.0,0.0,3,0,1,0,0,2,3,0,1,1,0,0,0,0,0,0,0,0,1,25,1,0,2,0,0,1,4,5,1,4,3,0,0,0,20,16,0
