file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\king\text\html\ListView.java,javax.swing.text.html.ListView,class,0,0,0,0,11,5,0,14,10,0.8,0.0,0.0,5,0,3,0,2,0,5,0,0,0,1,0,0,1,0,0,0,0,0,47,2,1,0,0,3,1,3,8,5,7,3,0,0,0,89,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\king\JToolBar.java,javax.swing.JToolBar$DefaultToolBarLayout,innerclass,0,0,0,0,19,1,0,11,0,0.25,0.0,0.0,12,0,11,0,0,1,12,0,0,0,1,0,0,0,0,1,0,0,0,65,8,0,2,0,5,1,0,6,0,3,3,0,0,0,49,2,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\king\filechooser\FileView.java,javax.swing.filechooser.FileView,class,0,0,0,0,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,130,1025,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\king\text\html\Map.java,javax.swing.text.html.Map$PolygonRegionContainment,innerclass,2,2,0,2,16,2,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,0,0,4,0,0,1,62,2,4,7,0,3,1,23,27,13,13,4,0,0,0,56,8,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\king\AbstractActionPropertyChangeListener.java,javax.swing.AbstractActionPropertyChangeListener$OwnedWeakReference,innerclass,0,0,0,0,2,3,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,10,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\king\text\html\CommentView.java,javax.swing.text.html.CommentView,class,6,6,0,6,11,7,0,19,15,0.8333333,0.0,0.0,6,0,0,0,1,5,6,0,0,0,3,3,0,0,0,3,3,0,0,72,4,0,3,1,2,1,2,15,2,12,2,0,1,0,70,0,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\king\DesktopManager.java,javax.swing.DesktopManager,interface,0,0,0,0,15,1,0,0,105,0.0,0.0,0.0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\king\KeyStroke.java,javax.swing.KeyStroke,class,0,0,0,0,12,2,0,8,36,1.0,0.0,0.0,9,7,7,2,0,0,7,0,0,0,1,1,0,1,0,0,1,0,12,55,9,0,2,1,0,0,3,1,0,1,2,0,0,0,256,1,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\king\plaf\basic\BasicIconFactory.java,javax.swing.plaf.basic.BasicIconFactory$MenuItemCheckIcon,innerclass,0,0,0,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,2,0,0,0,0,0,0,0,12,10,0
C:\Users\user\Desktop\STUFF A LOT OF 'EM\er\Design_Pattern\king\text\html\EditableView.java,javax.swing.text.html.EditableView,class,1,1,0,1,15,3,1,12,21,0.85714287,0.0,0.0,7,0,6,0,0,1,7,0,0,0,1,0,0,1,0,0,0,0,0,51,7,0,4,0,3,0,5,5,0,4,2,0,0,0,57,0,0
